File,SWE_Sum_mm,,,Year,SWE Sum
19991011_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991018_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991019_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991020_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991021_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991022_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991023_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991024_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991025_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991026_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991027_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991028_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991029_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991030_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991031_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991101_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991102_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991104_northern_hemisphere_swe_0.25grid.nc,3,,,1999,0.022058824
19991105_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991106_northern_hemisphere_swe_0.25grid.nc,29,,,1999,0.213235294
19991107_northern_hemisphere_swe_0.25grid.nc,10,,,1999,0.073529412
19991108_northern_hemisphere_swe_0.25grid.nc,55,,,1999,0.404411765
19991109_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991110_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991111_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991112_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991113_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991114_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991115_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991116_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991117_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991118_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991119_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991120_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991121_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991122_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991123_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991125_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991126_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991127_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
19991128_northern_hemisphere_swe_0.25grid.nc,0,,,1999,0
