File,SWE_Sum_mm,,,Date,SWE Sum
19991011_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991018_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991019_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991020_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991021_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991022_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991023_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991024_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991025_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991026_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991027_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991028_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991029_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991030_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991031_northern_hemisphere_swe_0.25grid.nc,0,,,199910,0
19991101_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991102_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991104_northern_hemisphere_swe_0.25grid.nc,3,,,199911,3
19991105_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991106_northern_hemisphere_swe_0.25grid.nc,29,,,199911,29
19991107_northern_hemisphere_swe_0.25grid.nc,10,,,199911,10
19991108_northern_hemisphere_swe_0.25grid.nc,55,,,199911,55
19991109_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991110_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991111_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991112_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991113_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991114_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991115_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991116_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991117_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991118_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991119_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991120_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991121_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991122_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991123_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991125_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991126_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991127_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991128_northern_hemisphere_swe_0.25grid.nc,0,,,199911,0
19991129_northern_hemisphere_swe_0.25grid.nc,66,,,199911,66
19991130_northern_hemisphere_swe_0.25grid.nc,141,,,199911,141
19991201_northern_hemisphere_swe_0.25grid.nc,94,,,199912,94
19991202_northern_hemisphere_swe_0.25grid.nc,46,,,199912,46
19991203_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991204_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991205_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991206_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991207_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991208_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991209_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991210_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991211_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991212_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991213_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991214_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991215_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991216_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991217_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991218_northern_hemisphere_swe_0.25grid.nc,27,,,199912,27
19991219_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991220_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991221_northern_hemisphere_swe_0.25grid.nc,0,,,199912,0
19991222_northern_hemisphere_swe_0.25grid.nc,28,,,199912,28
19991223_northern_hemisphere_swe_0.25grid.nc,127,,,199912,127
19991224_northern_hemisphere_swe_0.25grid.nc,183,,,199912,183
19991225_northern_hemisphere_swe_0.25grid.nc,224,,,199912,224
19991226_northern_hemisphere_swe_0.25grid.nc,221,,,199912,221
19991227_northern_hemisphere_swe_0.25grid.nc,448,,,199912,448
19991228_northern_hemisphere_swe_0.25grid.nc,439,,,199912,439
19991229_northern_hemisphere_swe_0.25grid.nc,576,,,199912,576
19991230_northern_hemisphere_swe_0.25grid.nc,480,,,199912,480
19991231_northern_hemisphere_swe_0.25grid.nc,753,,,199912,753
20000101_northern_hemisphere_swe_0.25grid.nc,632,,,200001,632
20000102_northern_hemisphere_swe_0.25grid.nc,375,,,200001,375
20000103_northern_hemisphere_swe_0.25grid.nc,159,,,200001,159
20000104_northern_hemisphere_swe_0.25grid.nc,122,,,200001,122
20000105_northern_hemisphere_swe_0.25grid.nc,127,,,200001,127
20000106_northern_hemisphere_swe_0.25grid.nc,124,,,200001,124
20000107_northern_hemisphere_swe_0.25grid.nc,178,,,200001,178
20000108_northern_hemisphere_swe_0.25grid.nc,246,,,200001,246
20000109_northern_hemisphere_swe_0.25grid.nc,168,,,200001,168
20000110_northern_hemisphere_swe_0.25grid.nc,144,,,200001,144
