File,SWE_Sum_mm
20051019_northern_hemisphere_swe_0.25grid.nc,0.00
20051020_northern_hemisphere_swe_0.25grid.nc,0.00
20051021_northern_hemisphere_swe_0.25grid.nc,0.00
20051022_northern_hemisphere_swe_0.25grid.nc,0.00
20051023_northern_hemisphere_swe_0.25grid.nc,0.00
20051024_northern_hemisphere_swe_0.25grid.nc,0.00
20051025_northern_hemisphere_swe_0.25grid.nc,0.00
20051026_northern_hemisphere_swe_0.25grid.nc,0.00
20051027_northern_hemisphere_swe_0.25grid.nc,0.00
20051028_northern_hemisphere_swe_0.25grid.nc,0.00
20051029_northern_hemisphere_swe_0.25grid.nc,0.00
20051030_northern_hemisphere_swe_0.25grid.nc,0.00
20051031_northern_hemisphere_swe_0.25grid.nc,0.00
20051101_northern_hemisphere_swe_0.25grid.nc,0.00
20051102_northern_hemisphere_swe_0.25grid.nc,0.00
20051103_northern_hemisphere_swe_0.25grid.nc,0.00
20051104_northern_hemisphere_swe_0.25grid.nc,0.00
20051105_northern_hemisphere_swe_0.25grid.nc,0.00
20051106_northern_hemisphere_swe_0.25grid.nc,0.00
20051107_northern_hemisphere_swe_0.25grid.nc,0.00
20051113_northern_hemisphere_swe_0.25grid.nc,0.00
20051114_northern_hemisphere_swe_0.25grid.nc,0.00
20051115_northern_hemisphere_swe_0.25grid.nc,0.00
20051116_northern_hemisphere_swe_0.25grid.nc,0.00
20051117_northern_hemisphere_swe_0.25grid.nc,0.00
20051118_northern_hemisphere_swe_0.25grid.nc,0.00
20051119_northern_hemisphere_swe_0.25grid.nc,0.00
20051121_northern_hemisphere_swe_0.25grid.nc,0.00
20051124_northern_hemisphere_swe_0.25grid.nc,45.00
20051125_northern_hemisphere_swe_0.25grid.nc,71.00
20051126_northern_hemisphere_swe_0.25grid.nc,129.00
20051127_northern_hemisphere_swe_0.25grid.nc,97.00
20051128_northern_hemisphere_swe_0.25grid.nc,0.00
20051129_northern_hemisphere_swe_0.25grid.nc,0.00
20051130_northern_hemisphere_swe_0.25grid.nc,0.00
20051201_northern_hemisphere_swe_0.25grid.nc,0.00
20051202_northern_hemisphere_swe_0.25grid.nc,33.00
20051203_northern_hemisphere_swe_0.25grid.nc,150.00
20051204_northern_hemisphere_swe_0.25grid.nc,227.00
20051205_northern_hemisphere_swe_0.25grid.nc,229.00
20051206_northern_hemisphere_swe_0.25grid.nc,191.00
20051207_northern_hemisphere_swe_0.25grid.nc,248.00
20051208_northern_hemisphere_swe_0.25grid.nc,240.00
20051209_northern_hemisphere_swe_0.25grid.nc,525.00
20051210_northern_hemisphere_swe_0.25grid.nc,430.00
20051211_northern_hemisphere_swe_0.25grid.nc,421.00
20051212_northern_hemisphere_swe_0.25grid.nc,584.00
20051213_northern_hemisphere_swe_0.25grid.nc,710.00
20051214_northern_hemisphere_swe_0.25grid.nc,577.00
20051215_northern_hemisphere_swe_0.25grid.nc,578.00
20051216_northern_hemisphere_swe_0.25grid.nc,1058.00
20051217_northern_hemisphere_swe_0.25grid.nc,1141.00
